sample_ID,depth_cm,age cal yrs BP median,wet vol cc,volume_cc,total spike,counted spkie,total pollen count,Pandanus echinate,Casuarinaceae,Lith Cast,Poaceae,Phyllocladus,Psilate monolete,Trilete others,Monolete others,Dacrydium,Urt Mor,Celtis Aphananthe,Cyperaceae,Mac Mall,Macaranga,Trema/ Parasponia,Polypodiaceae Davalliaceae type,Engelhardia rigida/serrata,Stemonurus celebicus,Arecaceae other,Unk LL8,Gironniera subaequalis,Acalypha,Podocarpus,Calamus,Weinmannia Caldcluvia prol,Agathis,Weinmannia Caldcluvia squat,Myrtaceae g17,Tetrameles,Myrtaceae -  Syzygium type,Garciniap164ii,Sapotaceae subprolate,Cyathea type,Vatica rassak flavovirens small,Vatica rassak flavovirens big,Saurauia,Elaeocarpus,Chionanthus cf,Erythrospermum/Casearia cf  LL23 LL15,Dipterocarpaceae g25,Santiria,Macadamia erect hildebrandii,Selaginella,type p219 p212,Dipterocarpaceae l22,Rapanea,type 93,Brassicaceae grouped,Nauclea Wendlandia types,Ficus,Pterospermum cf,Dacrycarpus,Comb Mel group,Calophyllum,Ilex,Canarium,Mallotus LL22,Gnetum gnemon,Gynostemma,Pteris Trilete A177 s58 s46,Elaeagnes triflora,type LL27 Sterculiaceae,Oncosperma,type LL19,Ulmus lanceifolia,Pandanus psilate,Hydrocotyle,Stenochlaena,Sapotaceae others,Lycopodium s57,Restionaceae,Adenanthera,Rutaceae type 2 LL21,Zizyphus Nephelium type,Sauropus,Dillenia,Rutaceae type 1,type LL2,c3p0 ret prol,Baccaurea,Haloragaceae other,Trichospermum cf,Ericaceae reticulate,Rotala cf,Myriophyllum,Haloragis micrantha,Solanaceae,Rhizophoraceae 160iii,Nothofagus,p401ii,Asteraceae tub.,Antidesma,Sapium Rutaceae,Begonia,Rhizophoraceae p161,Sterculia foetida,Helicteres,Meliacae,Madhuca type,Cupaniopsis,Ericaceae psilate,Strychnos,Loranthaceae,type LL4 p535,type p377,type LL18,type LL25,Utricularia,Eriocaulon,Drosera,Liliaceae,Mallotus p369,Dipterocarpus verrucosus,Acacia Albizia,Prunus javanica cf,Randia cf,Lophopetalum javanica torricellense,Crypteronia / Astronia,type 69,type LL5,type LL10,type LL11,type LL24,Lamiaceae sf p72,Caryophyllaceae,Plantago,Burmannia cf,Quercus,Blumeodendron endocarpum tokbrai,Hopea gregaria,Shorea teysmanniana,Mimosa,Ardisia type,Verbenaceae p403,Rhus type,Diospyros,Duabanga moluccana,Drimys,Schisandraceaa Kadsura,type p179,p507,type LL1,type LL3,unknown type p396ii,type p305ii,type LL20 C2P2,type P115ii,type LL30,Gonocaryum,l8um c3p3 ret,,Pteridophytes - other,total pollen conc
1,1,-59,2.5,0.395951,23840,315,426,191.141,5734.23,4013.96,1529.13,5543.09,7836.78,2867.12,11659.6,7454.5,1529.13,1337.99,573.423,573.423,1146.85,1337.99,2675.97,2102.55,573.423,382.282,573.423,764.564,191.141,2293.69,1911.41,382.282,1146.85,382.282,382.282,573.423,0,382.282,2102.55,764.564,573.423,764.564,382.282,191.141,0,191.141,191.141,0,191.141,764.564,191.141,764.564,191.141,0,0,191.141,191.141,0,191.141,191.141,191.141,0,0,0,0,0,0,0,0,0,0,0,0,0,382.282,0,382.282,0,191.141,0,0,0,0,191.141,0,191.141,191.141,0,0,0,0,0,0,0,191.141,0,0,0,0,0,0,0,0,191.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.141,0,0,0,0,0,0,0,0,191.141,191.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,26950.9,78750.1
18,18.5,1167.2,2.5,0.381282,23840,127,342,13785.2,11815.9,1969.32,6400.29,8369.61,11815.9,14769.9,15262.2,0,3938.64,2461.65,1969.32,3938.64,5415.63,2461.65,4430.97,3938.64,984.66,1476.99,984.66,3938.64,1969.32,2461.65,2461.65,492.33,984.66,492.33,492.33,1476.99,1476.99,4923.3,984.66,0,3446.31,3446.31,984.66,492.33,0,492.33,1476.99,0,1476.99,984.66,0,492.33,1476.99,0,0,0,0,492.33,0,0,1969.32,0,492.33,0,984.66,492.33,0,0,0,0,492.33,0,0,0,492.33,0,0,492.33,0,0,984.66,0,0,0,0,492.33,0,0,0,0,0,0,0,0,492.33,0,0,0,0,0,0,0,0,492.33,0,0,492.33,0,0,0,0,0,0,0,0,0,0,0,492.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.33,0,-14685.3,47263.7,162961
32,32.5,2079.8,2.5,0.328875,23840,108,370,20807.2,15437.6,12081.6,12752.8,10068,17451.2,20136,24834.4,14095.2,3356,3356,2684.8,671.199,5369.59,7383.19,4698.39,2013.6,1342.4,2684.8,1342.4,5369.59,4027.19,2684.8,4027.19,671.199,6711.99,2013.6,1342.4,671.199,0,6711.99,1342.4,0,0,671.199,0,671.199,0,2684.8,0,1342.4,0,2013.6,671.199,671.199,1342.4,0,0,0,671.199,0,0,671.199,1342.4,671.199,1342.4,0,0,0,0,0,671.199,0,671.199,0,0,0,671.199,0,0,671.199,0,0,0,0,0,0,0,0,671.199,0,0,0,0,0,0,0,1342.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671.199,0,671.199,-14685.3,69133.5,239618
48,48.5,3129.3,2.5,0.328875,23840,392,333,6842.12,3328.6,5917.51,2403.99,3883.37,1479.38,2403.99,2773.83,2034.14,924.611,554.767,369.844,1294.46,2034.14,924.611,554.767,554.767,924.611,924.611,924.611,554.767,739.689,369.844,554.767,554.767,184.922,2219.07,0,924.611,554.767,369.844,369.844,184.922,369.844,1664.3,369.844,554.767,184.922,1849.22,369.844,0,0,0,184.922,0,554.767,0,0,0,369.844,184.922,0,184.922,184.922,184.922,0,554.767,0,369.844,184.922,554.767,554.767,184.922,184.922,0,0,0,184.922,184.922,184.922,0,0,0,184.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.922,0,0,0,0,184.922,0,0,369.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,7766.73,59914.8
63,63.5,3577.3,2.5,0.331727,23840,288,502,32190.1,4491.65,9232.83,4242.11,10231,5489.79,2744.9,1497.22,4741.18,1497.22,1746.75,748.608,1497.22,1996.29,499.072,1247.68,1996.29,2994.43,1497.22,998.144,998.144,249.536,1746.75,998.144,748.608,1497.22,2245.82,1497.22,0,998.144,2245.82,249.536,249.536,249.536,1497.22,249.536,998.144,0,1247.68,0,748.608,249.536,0,748.608,499.072,499.072,748.608,0,249.536,0,499.072,0,249.536,499.072,249.536,249.536,998.144,499.072,249.536,0,998.144,0,0,499.072,0,249.536,0,499.072,499.072,0,0,0,0,249.536,0,249.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499.072,0,0,0,0,0,249.536,0,0,249.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.536,0,-14685.3,11229.1,121524
72,72.5,3852,2.5,0.393265,23840,355,296,5464.4,2219.91,8879.64,1024.57,3927.53,1878.39,1366.1,1195.34,1536.86,341.525,0,341.525,683.049,512.287,0,683.049,853.812,341.525,1024.57,683.049,1366.1,0,0,853.812,0,512.287,2561.44,0,170.762,683.049,0,1024.57,170.762,170.762,0,170.762,0,0,0,170.762,341.525,170.762,0,512.287,170.762,0,170.762,341.525,170.762,512.287,0,0,0,0,341.525,0,0,0,341.525,512.287,341.525,341.525,0,0,0,170.762,0,341.525,170.762,0,0,0,341.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.762,0,170.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,5805.92,46447.4
100,100.5,4642,2.5,0.385374,23840,205,272,9052.97,5733.55,9354.74,3319.42,7845.91,3621.19,1810.59,3017.66,2715.89,603.532,1810.59,301.766,603.532,1810.59,603.532,3319.42,1207.06,1810.59,905.297,1508.83,1207.06,0,603.532,905.297,301.766,905.297,603.532,301.766,0,603.532,1207.06,905.297,1508.83,603.532,301.766,0,0,0,0,905.297,0,603.532,603.532,301.766,301.766,0,0,0,301.766,0,0,0,301.766,0,0,301.766,0,301.766,0,0,301.766,905.297,301.766,0,0,0,0,0,0,301.766,0,301.766,301.766,0,301.766,301.766,0,301.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.766,0,0,0,301.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,14183,78760.9
116,116.5,5086.6,2.5,0.381498,23840,194,247,644.231,3865.39,7086.54,2576.93,9341.35,3865.39,644.231,2576.93,7086.54,0,966.347,966.347,1288.46,1610.58,1288.46,1610.58,2899.04,1288.46,966.347,1610.58,1288.46,644.231,644.231,966.347,0,322.116,2576.93,644.231,644.231,644.231,1610.58,644.231,322.116,0,1288.46,322.116,322.116,322.116,0,0,0,644.231,644.231,322.116,322.116,322.116,322.116,0,322.116,0,0,0,0,322.116,322.116,644.231,322.116,322.116,322.116,0,644.231,966.347,966.347,0,0,966.347,0,322.116,0,0,0,0,0,322.116,322.116,0,0,0,0,0,0,0,644.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.231,0,0,0,0,0,0,0,0,0,0,0,322.116,0,0,322.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,9663.47,76985.6
134,134.5,5627.2,2.5,0.403073,23840,173,359,24957.4,2735.06,12307.8,2051.29,14017.2,1709.41,3418.82,3076.94,2735.06,2051.29,341.882,0,1709.41,341.882,683.764,0,1709.41,3760.7,1367.53,2735.06,1709.41,1367.53,683.764,1025.65,3076.94,683.764,1025.65,1367.53,1367.53,3076.94,2735.06,341.882,683.764,341.882,0,341.882,683.764,1367.53,0,0,341.882,683.764,341.882,683.764,0,1025.65,1025.65,341.882,0,1367.53,0,341.882,0,341.882,0,683.764,1709.41,683.764,683.764,0,1025.65,341.882,683.764,1025.65,0,1025.65,341.882,0,0,0,0,0,341.882,0,341.882,0,0,0,0,0,0,0,0,0,0,0,0,0,341.882,0,0,0,0,0,0,0,0,341.882,0,0,341.882,0,341.882,0,0,0,0,0,0,0,0,341.882,0,0,0,0,341.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,9230.82,121026
148,148.5,5978.5,2.5,0.403073,23840,290,372,6934.31,2651.36,9993.57,2855.31,10197.5,3263.21,1835.55,1835.55,2855.31,815.802,1631.6,611.851,1631.6,815.802,407.901,1427.65,1223.7,2243.45,815.802,1223.7,407.901,407.901,407.901,1835.55,203.95,0,407.901,1223.7,0,203.95,407.901,1019.75,0,203.95,1631.6,0,203.95,815.802,203.95,0,0,203.95,407.901,611.851,0,611.851,611.851,611.851,0,203.95,203.95,0,0,0,407.901,0,0,0,407.901,203.95,0,0,0,203.95,0,203.95,0,0,0,0,0,0,407.901,0,0,0,0,203.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.851,0,0,0,203.95,0,0,0,0,0,0,0,407.901,0,0,0,407.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,8973.82,71994.5
