sample ID,depth cm,age cal yrs BP,volume cc,total spike,counted spike,total pollen count,Pandanus echinate,Casuarinaceae,Lith Cast,Poaceae,Phyllocladus,Psilate monolete,Trilete others,Monolete others,Dacrydium,Urt Mor,Celtis Aphananthe,Cyperaceae,Mac Mall,Macaranga,Trema/ Parasponia,Polypodiaceae Davalliaceae type,Engelhardia rigida/serrata,Stemonurus celebicus,Arecaceae other,Unk LL8,Gironniera subaequalis,Acalypha,Podocarpus,Calamus,Weinmannia Caldcluvia prol,Agathis,Weinmannia Caldcluvia squat,Myrtaceae g17,Tetrameles,Myrtaceae -  Syzygium type,Garciniap164ii,Sapotaceae subprolate,Cyathea type,Vatica rassak flavovirens small,Vatica rassak flavovirens big,Saurauia,Elaeocarpus,Chionanthus cf,Erythrospermum/Casearia cf  LL23 LL15,Dipterocarpaceae g25,Santiria,Macadamia erect hildebrandii,Selaginella,type p219 p212,Dipterocarpaceae l22,Rapanea,type 93,Brassicaceae grouped,Nauclea Wendlandia types,Ficus,Pterospermum cf,Dacrycarpus,Comb Mel group,Calophyllum,Ilex,Canarium,Mallotus LL22,Gnetum gnemon,Gynostemma,Pteris Trilete A177 s58 s46,Elaeagnes triflora,type LL27 Sterculiaceae,Oncosperma,type LL19,Ulmus lanceifolia,Pandanus psilate,Hydrocotyle,Stenochlaena,Sapotaceae others,Lycopodium s57,Restionaceae,Adenanthera,Rutaceae type 2 LL21,Zizyphus Nephelium type,Sauropus,Dillenia,Rutaceae type 1,type LL2,c3p0 ret prol,Baccaurea,Haloragaceae other,Trichospermum cf,Ericaceae reticulate,Rotala cf,Myriophyllum,Haloragis micrantha,Solanaceae,Rhizophoraceae 160iii,Nothofagus,p401ii,Asteraceae tub.,Antidesma,Sapium Rutaceae,Begonia,Rhizophoraceae p161,Sterculia foetida,Helicteres,Meliacae,Madhuca type,Cupaniopsis,Ericaceae psilate,Strychnos,Loranthaceae,type LL4 p535,type p377,type LL18,type LL25,Utricularia,Eriocaulon,Drosera,Liliaceae,Mallotus p369,Dipterocarpus verrucosus,Acacia Albizia,Prunus javanica cf,Randia cf,Lophopetalum javanica torricellense,Crypteronia / Astronia,type 69,type LL5,type LL10,type LL11,type LL24,Lamiaceae sf p72,Caryophyllaceae,Plantago,Burmannia cf,Quercus,Blumeodendron endocarpum tokbrai,Hopea gregaria,Shorea teysmanniana,Mimosa,Ardisia type,Verbenaceae p403,Rhus type,Diospyros,Duabanga moluccana,Drimys,Schisandraceaa Kadsura,type p179,p507,type LL1,type LL3,unknown type p396ii,type p305ii,type LL20 C2P2,type P115ii,type LL30,Gonocaryum,l8um c3p3 ret
1,1,-59,0.395951,23840,315,100,0.242718,7.28155,5.09709,1.94175,7.03883,9.95146,3.64078,14.8058,9.46602,1.94175,1.69903,0.728155,0.728155,1.45631,1.69903,3.39806,2.6699,0.728155,0.485437,0.728155,0.970874,0.242718,2.91262,2.42718,0.485437,1.45631,0.485437,0.485437,0.728155,0,0.485437,2.6699,0.970874,0.728155,0.970874,0.485437,0.242718,0,0.242718,0.242718,0,0.242718,0.970874,0.242718,0.970874,0.242718,0,0,0.242718,0.242718,0,0.242718,0.242718,0.242718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485437,0,0.485437,0,0.242718,0,0,0,0,0.242718,0,0.242718,0.242718,0,0,0,0,0,0,0,0.242718,0,0,0,0,0,0,0,0,0.242718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242718,0,0,0,0,0,0,0,0,0.242718,0.242718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18.5,1167.2,0.381282,23840,127,100,8.45921,7.25076,1.20846,3.92749,5.13595,7.25076,9.06344,9.36556,0,2.41692,1.51057,1.20846,2.41692,3.32326,1.51057,2.71903,2.41692,0.60423,0.906344,0.60423,2.41692,1.20846,1.51057,1.51057,0.302115,0.60423,0.302115,0.302115,0.906344,0.906344,3.02115,0.60423,0,2.1148,2.1148,0.60423,0.302115,0,0.302115,0.906344,0,0.906344,0.60423,0,0.302115,0.906344,0,0,0,0,0.302115,0,0,1.20846,0,0.302115,0,0.60423,0.302115,0,0,0,0,0.302115,0,0,0,0.302115,0,0,0.302115,0,0,0.60423,0,0,0,0,0.302115,0,0,0,0,0,0,0,0,0.302115,0,0,0,0,0,0,0,0,0.302115,0,0,0.302115,0,0,0,0,0,0,0,0,0,0,0,0.302115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302115,0
32,32.5,2079.8,0.328875,23840,108,100,8.68347,6.44258,5.04202,5.32213,4.20168,7.28291,8.40336,10.3641,5.88235,1.40056,1.40056,1.12045,0.280112,2.2409,3.08123,1.96078,0.840336,0.560224,1.12045,0.560224,2.2409,1.68067,1.12045,1.68067,0.280112,2.80112,0.840336,0.560224,0.280112,0,2.80112,0.560224,0,0,0.280112,0,0.280112,0,1.12045,0,0.560224,0,0.840336,0.280112,0.280112,0.560224,0,0,0,0.280112,0,0,0.280112,0.560224,0.280112,0.560224,0,0,0,0,0,0.280112,0,0.280112,0,0,0,0.280112,0,0,0.280112,0,0,0,0,0,0,0,0,0.280112,0,0,0,0,0,0,0,0.560224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280112,0,0.280112
48,48.5,3129.3,0.328875,23840,392,100,11.4198,5.55556,9.87654,4.01235,6.48148,2.46914,4.01235,4.62963,3.39506,1.54321,0.925926,0.617284,2.16049,3.39506,1.54321,0.925926,0.925926,1.54321,1.54321,1.54321,0.925926,1.23457,0.617284,0.925926,0.925926,0.308642,3.7037,0,1.54321,0.925926,0.617284,0.617284,0.308642,0.617284,2.77778,0.617284,0.925926,0.308642,3.08642,0.617284,0,0,0,0.308642,0,0.925926,0,0,0,0.617284,0.308642,0,0.308642,0.308642,0.308642,0,0.925926,0,0.617284,0.308642,0.925926,0.925926,0.308642,0.308642,0,0,0,0.308642,0.308642,0.308642,0,0,0,0.308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308642,0,0,0,0,0.308642,0,0,0.617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63.5,3577.3,0.331727,23840,288,100,26.4887,3.6961,7.59754,3.49076,8.41889,4.51745,2.25873,1.23203,3.90144,1.23203,1.43737,0.616016,1.23203,1.64271,0.410678,1.02669,1.64271,2.46407,1.23203,0.821355,0.821355,0.205339,1.43737,0.821355,0.616016,1.23203,1.84805,1.23203,0,0.821355,1.84805,0.205339,0.205339,0.205339,1.23203,0.205339,0.821355,0,1.02669,0,0.616016,0.205339,0,0.616016,0.410678,0.410678,0.616016,0,0.205339,0,0.410678,0,0.205339,0.410678,0.205339,0.205339,0.821355,0.410678,0.205339,0,0.821355,0,0,0.410678,0,0.205339,0,0.410678,0.410678,0,0,0,0,0.205339,0,0.205339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410678,0,0,0,0,0,0.205339,0,0,0.205339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205339,0
72,72.5,3852,0.393265,23840,355,100,11.7647,4.77941,19.1176,2.20588,8.45588,4.04412,2.94118,2.57353,3.30882,0.735294,0,0.735294,1.47059,1.10294,0,1.47059,1.83824,0.735294,2.20588,1.47059,2.94118,0,0,1.83824,0,1.10294,5.51471,0,0.367647,1.47059,0,2.20588,0.367647,0.367647,0,0.367647,0,0,0,0.367647,0.735294,0.367647,0,1.10294,0.367647,0,0.367647,0.735294,0.367647,1.10294,0,0,0,0,0.735294,0,0,0,0.735294,1.10294,0.735294,0.735294,0,0,0,0.367647,0,0.735294,0.367647,0,0,0,0.735294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367647,0,0.367647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100.5,4642,0.385374,23840,205,100,11.4943,7.27969,11.8774,4.21456,9.96169,4.5977,2.29885,3.83142,3.44828,0.766284,2.29885,0.383142,0.766284,2.29885,0.766284,4.21456,1.53257,2.29885,1.14943,1.91571,1.53257,0,0.766284,1.14943,0.383142,1.14943,0.766284,0.383142,0,0.766284,1.53257,1.14943,1.91571,0.766284,0.383142,0,0,0,0,1.14943,0,0.766284,0.766284,0.383142,0.383142,0,0,0,0.383142,0,0,0,0.383142,0,0,0.383142,0,0.383142,0,0,0.383142,1.14943,0.383142,0,0,0,0,0,0,0.383142,0,0.383142,0.383142,0,0.383142,0.383142,0,0.383142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383142,0,0,0,0.383142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116.5,5086.6,0.381498,23840,194,100,0.83682,5.02092,9.20502,3.34728,12.1339,5.02092,0.83682,3.34728,9.20502,0,1.25523,1.25523,1.67364,2.09205,1.67364,2.09205,3.76569,1.67364,1.25523,2.09205,1.67364,0.83682,0.83682,1.25523,0,0.41841,3.34728,0.83682,0.83682,0.83682,2.09205,0.83682,0.41841,0,1.67364,0.41841,0.41841,0.41841,0,0,0,0.83682,0.83682,0.41841,0.41841,0.41841,0.41841,0,0.41841,0,0,0,0,0.41841,0.41841,0.83682,0.41841,0.41841,0.41841,0,0.83682,1.25523,1.25523,0,0,1.25523,0,0.41841,0,0,0,0,0,0.41841,0.41841,0,0,0,0,0,0,0,0.83682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83682,0,0,0,0,0,0,0,0,0,0,0,0.41841,0,0,0.41841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134.5,5627.2,0.403073,23840,173,100,20.6215,2.25989,10.1695,1.69492,11.5819,1.41243,2.82486,2.54237,2.25989,1.69492,0.282486,0,1.41243,0.282486,0.564972,0,1.41243,3.10734,1.12994,2.25989,1.41243,1.12994,0.564972,0.847458,2.54237,0.564972,0.847458,1.12994,1.12994,2.54237,2.25989,0.282486,0.564972,0.282486,0,0.282486,0.564972,1.12994,0,0,0.282486,0.564972,0.282486,0.564972,0,0.847458,0.847458,0.282486,0,1.12994,0,0.282486,0,0.282486,0,0.564972,1.41243,0.564972,0.564972,0,0.847458,0.282486,0.564972,0.847458,0,0.847458,0.282486,0,0,0,0,0,0.282486,0,0.282486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282486,0,0,0,0,0,0,0,0,0.282486,0,0,0.282486,0,0.282486,0,0,0,0,0,0,0,0,0.282486,0,0,0,0,0.282486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148.5,5978.5,0.403073,23840,290,100,9.63173,3.68272,13.881,3.96601,14.1643,4.53258,2.54958,2.54958,3.96601,1.13314,2.26629,0.849858,2.26629,1.13314,0.566572,1.983,1.69972,3.11615,1.13314,1.69972,0.566572,0.566572,0.566572,2.54958,0.283286,0,0.566572,1.69972,0,0.283286,0.566572,1.41643,0,0.283286,2.26629,0,0.283286,1.13314,0.283286,0,0,0.283286,0.566572,0.849858,0,0.849858,0.849858,0.849858,0,0.283286,0.283286,0,0,0,0.566572,0,0,0,0.566572,0.283286,0,0,0,0.283286,0,0.283286,0,0,0,0,0,0,0.566572,0,0,0,0,0.283286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849858,0,0,0,0.283286,0,0,0,0,0,0,0,0.566572,0,0,0,0.566572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
