sample ID,depth cm,age cal yrs BP,volume cc,total spike,counted spike,total pollen count,Pandanus echinate,Casuarinaceae,Lith Cast,Poaceae,Phyllocladus,Psilate monolete,Trilete others,Monolete others,Dacrydium,Urt Mor,Celtis Aphananthe,Cyperaceae,Mac Mall,Macaranga,Trema/ Parasponia,Polypodiaceae Davalliaceae type,Engelhardia rigida/serrata,Stemonurus celebicus,Arecaceae other,Unk LL8,Gironniera subaequalis,Acalypha,Podocarpus,Calamus,Weinmannia Caldcluvia prol,Agathis,Weinmannia Caldcluvia squat,Myrtaceae g17,Tetrameles,Myrtaceae -  Syzygium type,Garciniap164ii,Sapotaceae subprolate,Cyathea type,Vatica rassak flavovirens small,Vatica rassak flavovirens big,Saurauia,Elaeocarpus,Chionanthus cf,Erythrospermum/Casearia cf  LL23 LL15,Dipterocarpaceae g25,Santiria,Macadamia erect hildebrandii,Selaginella,type p219 p212,Dipterocarpaceae l22,Rapanea,type 93,Brassicaceae grouped,Nauclea Wendlandia types,Ficus,Pterospermum cf,Dacrycarpus,Comb Mel group,Calophyllum,Ilex,Canarium,Mallotus LL22,Gnetum gnemon,Gynostemma,Pteris Trilete A177 s58 s46,Elaeagnes triflora,type LL27 Sterculiaceae,Oncosperma,type LL19,Ulmus lanceifolia,Pandanus psilate,Hydrocotyle,Stenochlaena,Sapotaceae others,Lycopodium s57,Restionaceae,Adenanthera,Rutaceae type 2 LL21,Zizyphus Nephelium type,Sauropus,Dillenia,Rutaceae type 1,type LL2,c3p0 ret prol,Baccaurea,Haloragaceae other,Trichospermum cf,Ericaceae reticulate,Rotala cf,Myriophyllum,Haloragis micrantha,Solanaceae,Rhizophoraceae 160iii,Nothofagus,p401ii,Asteraceae tub.,Antidesma,Sapium Rutaceae,Begonia,Rhizophoraceae p161,Sterculia foetida,Helicteres,Meliacae,Madhuca type,Cupaniopsis,Ericaceae psilate,Strychnos,Loranthaceae,type LL4 p535,type p377,type LL18,type LL25,Utricularia,Eriocaulon,Drosera,Liliaceae,Mallotus p369,Dipterocarpus verrucosus,Acacia Albizia,Prunus javanica cf,Randia cf,Lophopetalum javanica torricellense,Crypteronia / Astronia,type 69,type LL5,type LL10,type LL11,type LL24,Lamiaceae sf p72,Caryophyllaceae,Plantago,Burmannia cf,Quercus,Blumeodendron endocarpum tokbrai,Hopea gregaria,Shorea teysmanniana,Mimosa,Ardisia type,Verbenaceae p403,Rhus type,Diospyros,Duabanga moluccana,Drimys,Schisandraceaa Kadsura,type p179,p507,type LL1,type LL3,unknown type p396ii,type p305ii,type LL20 C2P2,type P115ii,type LL30,Gonocaryum,l8um c3p3 ret
1,1,-59,0.395951,23840,315,426,-2.00458,-0.274496,-0.673069,-0.935398,0.343413,2.71394,-0.251085,3.61585,2.11364,-0.41787,-0.517325,-0.724412,-1.14608,-0.252692,0.0349179,1.50045,1.12866,-0.332111,-0.843878,-0.631422,-0.22759,-1.21934,2.4841,1.63608,-0.410215,0.774247,-0.239766,-0.250754,0.0652233,-0.970201,-0.0936178,2.8054,0.830372,0.321493,0.6018,0.0741401,-0.406659,-0.598349,-0.0943511,-0.208545,-0.754292,-0.180443,2.04867,-0.178056,2.31987,-0.0308806,-0.975339,-0.6543,-0.0240029,0.0692463,-0.521337,0.0280054,0.1299,0.198214,-0.852508,-0.703699,-0.397276,-0.586441,-0.579889,-0.633566,-0.474185,-0.476341,-0.436316,-0.488769,-0.497485,-0.443136,-0.570583,1.69949,-0.571921,2.04634,-0.616117,0.547842,-0.458999,-0.557601,-0.575046,-0.483988,0.50872,-0.354473,0.884963,0.982595,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,1.41099,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,-0.326318,-0.321672,-0.318653,2.1345,-0.324247,-0.306928,-0.321251,-0.245101,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,-0.259714,-0.243372,3.08187,-0.257488,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,5.47723,5.47723,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
18,18.5,1167.2,0.381282,23840,127,342,-0.666065,-0.280209,-1.62759,-0.608883,-0.0271384,1.45759,1.82407,1.80941,-1.41634,-0.147862,-0.631089,-0.477818,0.640733,1.90554,-0.139256,0.945226,0.895926,-0.408972,-0.458632,-0.766159,1.23468,0.0275272,0.672099,0.682321,-0.574051,-0.225878,-0.382341,-0.463322,0.343503,0.412481,2.74039,-0.00841128,-1.14528,2.747,2.01532,0.327229,-0.21868,-0.598349,0.000338567,0.664637,-0.754292,2.15913,0.920443,-0.840388,0.0430146,1.98237,-0.975339,-0.6543,-0.56097,-0.69346,0.117474,-0.679954,-0.744897,3.88644,-0.852508,0.367324,-0.397276,1.53819,0.468351,-0.633566,-0.474185,-0.476341,-0.436316,0.727311,-0.497485,-0.443136,-0.570583,0.852553,-0.571921,-0.497951,1.45315,-0.482808,-0.458999,2.87093,-0.575046,-0.483988,-0.319039,-0.354473,1.22592,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,1.8454,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,-0.326318,-0.321672,-0.318653,2.73451,-0.324247,-0.306928,3.29898,-0.245101,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,3.94219,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,4.49757,-0.182574
32,32.5,2079.8,0.328875,23840,108,370,-0.629532,-0.430117,-0.686587,-0.379564,-0.209071,1.47255,1.57147,2.14099,0.777252,-0.725391,-0.697501,-0.523004,-1.62013,0.654304,1.31238,0.325225,-0.55446,-0.436265,-0.262669,-0.814003,1.05668,0.637203,0.167901,0.859312,-0.593715,2.35271,0.0362498,-0.164035,-0.634491,-0.970201,2.49448,-0.0683547,-1.14528,-0.952186,-0.251756,-0.960087,-0.288315,-0.598349,1.30493,-0.527908,0.71986,-1.03613,1.64698,-0.0760163,-0.031896,0.932342,-0.975339,-0.6543,-0.56097,0.18675,-0.521337,-0.679954,0.264672,1.41079,0.237852,1.28234,-0.397276,-0.586441,-0.579889,-0.633566,-0.474185,0.302807,-0.436316,0.638745,-0.497485,-0.443136,-0.570583,0.750901,-0.571921,-0.497951,1.30245,-0.482808,-0.458999,-0.557601,-0.575046,-0.483988,-0.319039,-0.354473,-0.50833,1.18833,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,3.73315,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,-0.326318,-0.321672,-0.318653,-0.317399,-0.324247,-0.306928,-0.321251,-0.245101,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,2.88506,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,5.47723,-0.257652,5.47723
48,48.5,3129.3,0.328875,23840,392,333,-0.183776,-0.594649,0.500115,-0.594931,0.234879,-0.766786,-0.108892,0.236837,-0.150286,-0.644333,-0.984023,-0.781334,0.369421,1.98854,-0.109093,-0.520953,-0.475721,0.173398,0.124273,0.254738,-0.273042,0.0612363,-0.482388,0.0739798,-0.0165497,-0.572822,2.26318,-0.813636,1.3381,0.442354,0.0537393,0.00937107,-0.51722,0.127559,2.83454,0.355041,1.75558,-0.159038,4.43908,0.284298,-0.754292,-1.03613,-0.938874,0.00183637,-0.985565,2.04178,-0.975339,-0.6543,-0.56097,1.24626,0.131275,-0.679954,0.367499,0.44998,0.348908,-0.703699,1.76293,-0.586441,1.56189,0.549773,2.51722,2.09918,0.349499,0.753584,-0.497485,-0.443136,-0.570583,0.882708,1.04144,1.11972,-0.616117,-0.482808,-0.458999,1.1937,-0.575046,-0.483988,-0.319039,-0.354473,-0.50833,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,-0.427201,-0.29596,-0.272756,-0.31798,1.8379,-0.326318,-0.321672,-0.318653,-0.317399,2.86005,-0.306928,-0.321251,4.96757,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
63,63.5,3577.3,0.331727,23840,288,502,2.27104,-0.939557,-0.0592988,-0.680695,0.612154,0.186078,-0.779971,-0.891338,0.0385473,-0.821154,-0.675279,-0.781985,-0.612946,-0.0372105,-1.1558,-0.438557,0.183689,0.744528,-0.160539,-0.530091,-0.378786,-1.26761,0.577492,-0.0348286,-0.293516,0.511002,0.819979,0.614952,-1.07195,0.282825,1.42929,-0.551772,-0.727434,-0.59301,0.924508,-0.522611,1.42463,-0.598349,1.15546,-0.527908,0.866669,-0.312222,-0.938874,0.840602,0.412627,0.47866,1.12543,-0.6543,-0.106698,-0.69346,0.347026,-0.679954,-0.00482266,0.83966,-0.053209,0.024245,1.51896,0.857607,0.13257,-0.633566,2.17938,-0.476341,-0.436316,1.1643,-0.497485,0.307634,-0.570583,1.35411,1.57481,-0.497951,-0.616117,-0.482808,-0.458999,0.607538,-0.575046,0.611541,-0.319039,-0.354473,-0.50833,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,2.99044,-0.321672,-0.318653,-0.317399,-0.324247,-0.306928,2.13932,-0.245101,-0.250513,2.33953,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,5.47723,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,2.97434,-0.182574
72,72.5,3852,0.393265,23840,355,296,-0.127581,-0.738615,2.76847,-0.891966,0.619357,-0.0341146,-0.518809,-0.445893,-0.182445,-1.10342,-1.54298,-0.720747,-0.36054,-0.661195,-1.53536,-0.075596,0.363563,-0.327684,0.7308,0.175781,1.76482,-1.53272,-1.28017,1.02326,-0.844051,0.359482,3.67165,-0.813636,-0.497787,1.27327,-0.63616,2.17333,-0.397149,-0.309103,-0.597883,-0.176812,-1.17482,-0.598349,-0.481293,-0.0441674,1.18053,0.259986,-0.938874,2.16933,0.266126,-0.76722,0.278427,0.957237,0.252377,2.77237,-0.521337,-0.679954,-0.744897,-0.728742,2.00969,-0.703699,-0.397276,-0.586441,1.97134,3.59513,1.90134,1.56892,-0.436316,-0.488769,-0.497485,0.901074,-0.570583,2.85382,1.34988,-0.497951,-0.616117,-0.482808,3.11098,-0.557601,-0.575046,-0.483988,-0.319039,-0.354473,-0.50833,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,-0.427201,-0.29596,-0.272756,-0.31798,2.24766,-0.326318,3.0118,-0.318653,-0.317399,-0.324247,-0.306928,-0.321251,-0.245101,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
100,100.5,4642,0.385374,23840,205,272,-0.17164,-0.274841,0.991252,-0.561681,0.912585,0.223409,-0.764616,-0.02821,-0.130441,-1.08581,-0.155231,-0.901546,-1.10574,0.721301,-0.827144,2.16808,0.0823618,0.642059,-0.236147,0.659734,0.340405,-1.53272,-0.289821,0.306536,-0.501637,0.414042,-0.0213432,-0.369369,-1.07195,0.19881,1.07669,0.734243,2.75304,0.388187,-0.124445,-0.960087,-1.17482,-0.598349,-0.481293,0.984476,-0.754292,1.66536,1.41911,0.205132,0.318879,-0.76722,-0.975339,-0.6543,0.286656,-0.69346,-0.521337,-0.679954,0.636008,-0.728742,-0.852508,0.654572,-0.397276,0.760784,-0.579889,-0.633566,0.763637,2.72085,0.539178,-0.488769,-0.497485,-0.443136,-0.570583,-0.543205,-0.571921,1.51019,-0.616117,1.14412,1.40122,-0.557601,1.76921,1.56016,-0.319039,1.23062,-0.50833,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,2.76805,-0.321672,-0.318653,-0.317399,3.62867,-0.306928,-0.321251,-0.245101,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
116,116.5,5086.6,0.381498,23840,194,247,-1.9078,-0.693818,0.335281,-0.704287,1.33558,0.420288,-1.32411,-0.188968,2.01631,-1.52124,-0.785233,-0.453806,-0.145699,0.482235,0.0114529,0.432558,2.13674,0.254293,-0.139307,0.851459,0.483061,-0.452298,-0.19866,0.416629,-0.844051,-0.443982,1.98598,0.156688,0.234926,0.306417,1.70199,0.308418,-0.29385,-0.952186,1.47019,-0.0686612,0.149376,-0.00279807,-0.481293,-0.527908,-0.754292,1.91403,1.63616,0.301372,0.438953,0.502118,0.451541,-0.6543,0.364681,-0.69346,-0.521337,-0.679954,-0.744897,0.869191,0.77619,2.2629,0.578883,0.884796,0.871858,-0.633566,2.22934,3.01515,2.75955,-0.488769,-0.497485,4.1463,-0.570583,1.38983,-0.571921,-0.497951,-0.616117,-0.482808,-0.458999,1.81655,1.985,-0.483988,-0.319039,-0.354473,-0.50833,-0.352824,-0.431626,-0.281017,4.12067,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,-0.326318,-0.321672,-0.318653,-0.317399,-0.324247,-0.306928,-0.321251,-0.245101,4.81372,-0.323629,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,-0.262455,-0.251732,4.34917,-0.243372,-0.258777,4.50756,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
134,134.5,5627.2,0.403073,23840,173,359,1.31524,-1.20596,0.572024,-0.975984,1.2281,-1.25836,-0.563322,-0.456239,-0.573604,-0.558128,-1.37245,-1.09826,-0.422076,-1.60966,-1.0132,-1.27806,-0.0281596,1.1435,-0.253978,1.03394,0.21892,-0.0738447,-0.549996,-0.00766843,1.42807,-0.271956,0.0417884,0.496576,0.6927,2.90834,1.88957,-0.446684,0.0043923,-0.458065,-0.597883,-0.358249,0.61322,1.00997,-0.481293,-0.527908,-0.0109699,0.955643,-0.0696169,0.701311,-0.985565,1.80373,1.9147,-0.0351785,-0.56097,2.85722,-0.521337,0.143999,-0.744897,0.350088,-0.852508,1.29917,2.89795,1.40014,1.38038,-0.633566,2.26371,0.309409,1.00212,2.92244,-0.497485,2.65538,0.752103,-0.543205,-0.571921,-0.497951,-0.616117,-0.482808,0.912518,-0.557601,1.15335,-0.483988,-0.319039,-0.354473,-0.50833,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,1.66499,-0.29596,-0.272756,-0.31798,-0.305462,-0.326318,-0.321672,-0.318653,-0.317399,2.59019,-0.306928,-0.321251,2.14036,-0.250513,3.3401,-0.318131,-0.246335,-0.327171,-0.182574,-0.2618,-0.260397,-0.182574,-0.262024,3.669,-0.251732,-0.259714,-0.243372,-0.258777,2.95959,-0.256624,-0.182574,-0.182574,-0.262612,-0.254373,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
148,148.5,5978.5,0.403073,23840,290,372,-0.475056,-0.942039,1.48307,-0.60255,1.73097,0.193114,-0.668668,-0.453847,0.0626255,-0.877346,-0.174888,-0.661928,0.481358,-0.626279,-1.01172,0.343392,0.236132,1.14896,-0.251048,0.424899,-0.636427,-0.801216,-0.547928,1.76343,-0.590878,-0.935088,-0.176665,1.15725,-1.07195,-0.538031,-0.00293795,1.09795,-1.14528,-0.456666,2.20251,-0.960087,-0.278269,1.01453,-0.0296781,-0.527908,-0.754292,-0.0374235,0.804565,1.47871,-0.985565,1.81101,1.92288,1.20833,-0.56097,0.196724,0.0776612,-0.679954,-0.744897,-0.728742,1.35292,-0.703699,-0.397276,-0.586441,1.38593,0.452558,-0.474185,-0.476341,-0.436316,0.651521,-0.497485,0.592629,-0.570583,-0.543205,-0.571921,-0.497951,-0.616117,-0.482808,2.2918,-0.557601,-0.575046,-0.483988,-0.319039,0.81751,-0.50833,-0.352824,-0.431626,-0.281017,-0.389029,-0.422585,-0.26927,-0.215908,-0.379198,-0.36419,-0.427201,-0.29596,-0.272756,-0.31798,-0.305462,-0.326318,-0.321672,-0.318653,-0.317399,-0.324247,-0.306928,-0.321251,-0.245101,-0.250513,-0.323629,-0.318131,-0.246335,-0.327171,5.47723,-0.2618,-0.260397,-0.182574,3.53595,-0.262455,-0.251732,-0.259714,-0.243372,-0.258777,-0.257488,-0.256624,5.47723,-0.182574,-0.262612,-0.254373,5.47723,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.182574,-0.257652,-0.182574
