sample ID,depth cm,age cal yrs BP,volume cc,total spike,counted spike,total pollen count,Pandanus echinate,Casuarinaceae,Lith Cast,Poaceae,Phyllocladus,Psilate monolete,Trilete others,Monolete others,Dacrydium,Urt Mor,Celtis Aphananthe,Cyperaceae,Mac Mall,Macaranga,Trema/ Parasponia,Polypodiaceae Davalliaceae type,Engelhardia rigida/serrata,Stemonurus celebicus,Arecaceae other,Unk LL8,Gironniera subaequalis,Acalypha,Podocarpus,Calamus,Weinmannia Caldcluvia prol,Agathis,Weinmannia Caldcluvia squat,Myrtaceae g17,Tetrameles,Myrtaceae -  Syzygium type,Garciniap164ii,Sapotaceae subprolate,Cyathea type,Vatica rassak flavovirens small,Vatica rassak flavovirens big,Saurauia,Elaeocarpus,Chionanthus cf,Erythrospermum/Casearia cf  LL23 LL15,Dipterocarpaceae g25,Santiria,Macadamia erect hildebrandii,Selaginella,type p219 p212,Dipterocarpaceae l22,Rapanea,type 93,Brassicaceae grouped,Nauclea Wendlandia types,Ficus,Pterospermum cf,Dacrycarpus,Comb Mel group,Calophyllum,Ilex,Canarium,Mallotus LL22,Gnetum gnemon,Gynostemma,Pteris Trilete A177 s58 s46,Elaeagnes triflora,type LL27 Sterculiaceae,Oncosperma,type LL19,Ulmus lanceifolia,Pandanus psilate,Hydrocotyle,Stenochlaena,Sapotaceae others,Lycopodium s57,Restionaceae,Adenanthera,Rutaceae type 2 LL21,Zizyphus Nephelium type,Sauropus,Dillenia,Rutaceae type 1,type LL2,c3p0 ret prol,Baccaurea,Haloragaceae other,Trichospermum cf,Ericaceae reticulate,Rotala cf,Myriophyllum,Haloragis micrantha,Solanaceae,Rhizophoraceae 160iii,Nothofagus,p401ii,Asteraceae tub.,Antidesma,Sapium Rutaceae,Begonia,Rhizophoraceae p161,Sterculia foetida,Helicteres,Meliacae,Madhuca type,Cupaniopsis,Ericaceae psilate,Strychnos,Loranthaceae,type LL4 p535,type p377,type LL18,type LL25,Utricularia,Eriocaulon,Drosera,Liliaceae,Mallotus p369,Dipterocarpus verrucosus,Acacia Albizia,Prunus javanica cf,Randia cf,Lophopetalum javanica torricellense,Crypteronia / Astronia,type 69,type LL5,type LL10,type LL11,type LL24,Lamiaceae sf p72,Caryophyllaceae,Plantago,Burmannia cf,Quercus,Blumeodendron endocarpum tokbrai,Hopea gregaria,Shorea teysmanniana,Mimosa,Ardisia type,Verbenaceae p403,Rhus type,Diospyros,Duabanga moluccana,Drimys,Schisandraceaa Kadsura,type p179,p507,type LL1,type LL3,unknown type p396ii,type p305ii,type LL20 C2P2,type P115ii,type LL30,Gonocaryum,l8um c3p3 ret
1,1,-59,0.395951,23840,315,426,1,30,21,8,29,41,15,61,39,8,7,3,3,6,7,14,11,3,2,3,4,1,12,10,2,6,2,2,3,0,2,11,4,3,4,2,1,0,1,1,0,1,4,1,4,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18.5,1167.2,0.381282,23840,127,342,28,24,4,13,17,24,30,31,0,8,5,4,8,11,5,9,8,2,3,2,8,4,5,5,1,2,1,1,3,3,10,2,0,7,7,2,1,0,1,3,0,3,2,0,1,3,0,0,0,0,1,0,0,4,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,32.5,2079.8,0.328875,23840,108,370,31,23,18,19,15,26,30,37,21,5,5,4,1,8,11,7,3,2,4,2,8,6,4,6,1,10,3,2,1,0,10,2,0,0,1,0,1,0,4,0,2,0,3,1,1,2,0,0,0,1,0,0,1,2,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,48.5,3129.3,0.328875,23840,392,333,37,18,32,13,21,8,13,15,11,5,3,2,7,11,5,3,3,5,5,5,3,4,2,3,3,1,12,0,5,3,2,2,1,2,9,2,3,1,10,2,0,0,0,1,0,3,0,0,0,2,1,0,1,1,1,0,3,0,2,1,3,3,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63.5,3577.3,0.331727,23840,288,502,129,18,37,17,41,22,11,6,19,6,7,3,6,8,2,5,8,12,6,4,4,1,7,4,3,6,9,6,0,4,9,1,1,1,6,1,4,0,5,0,3,1,0,3,2,2,3,0,1,0,2,0,1,2,1,1,4,2,1,0,4,0,0,2,0,1,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,72.5,3852,0.393265,23840,355,296,32,13,52,6,23,11,8,7,9,2,0,2,4,3,0,4,5,2,6,4,8,0,0,5,0,3,15,0,1,4,0,6,1,1,0,1,0,0,0,1,2,1,0,3,1,0,1,2,1,3,0,0,0,0,2,0,0,0,2,3,2,2,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100.5,4642,0.385374,23840,205,272,30,19,31,11,26,12,6,10,9,2,6,1,2,6,2,11,4,6,3,5,4,0,2,3,1,3,2,1,0,2,4,3,5,2,1,0,0,0,0,3,0,2,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116.5,5086.6,0.381498,23840,194,247,2,12,22,8,29,12,2,8,22,0,3,3,4,5,4,5,9,4,3,5,4,2,2,3,0,1,8,2,2,2,5,2,1,0,4,1,1,1,0,0,0,2,2,1,1,1,1,0,1,0,0,0,0,1,1,2,1,1,1,0,2,3,3,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134.5,5627.2,0.403073,23840,173,359,73,8,36,6,41,5,10,9,8,6,1,0,5,1,2,0,5,11,4,8,5,4,2,3,9,2,3,4,4,9,8,1,2,1,0,1,2,4,0,0,1,2,1,2,0,3,3,1,0,4,0,1,0,1,0,2,5,2,2,0,3,1,2,3,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148.5,5978.5,0.403073,23840,290,372,34,13,49,14,50,16,9,9,14,4,8,3,8,4,2,7,6,11,4,6,2,2,2,9,1,0,2,6,0,1,2,5,0,1,8,0,1,4,1,0,0,1,2,3,0,3,3,3,0,1,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
