Sample Site,Latitude,Longitude,Altitude,Vegetation,Alnus,Cedrus,Crataegus,Cupressaceae,Fraxinus,Juglandaceae,Olea ,Phillyrea,Pinus,Quercus deciduous,Quercus evergreen,Ephedra distachya,Ephedra fragilis,Ribes,Apiaceae undiff.,Artemisia,Asteraceae anthemis type,Asteraceae aster type,Asteraceae carthamus,Asteraceae  cirsium type,Asteraceae  lactuceae  type,Asteraceae saussurea type,Asteraceae undiff.,Brassicaceae undiff.,Caryophyllaceae herniaria type,Caryophyllaceae undiff.,Centaurea cyanus type,Centaurea nigra type,Chenopodiaceae undiff.,Convolvulus,Crassulaceae,Euphorbia,Fabaceae astragalus type,Fabaceae coronilla type,Fabaceae genista,Fabaceae lathyrus type,Fabaceae lotus type,Fabaceae onobrychis ,Fabaceae undiff.,Helianthemum,Lamiaceae,Plantago albicans type,Plantago  coronopus type,Plantago undiff.,Poaceae undiff.,Rumex undiff.,Ranunculus undiff.,Zygophyllaceae,ARBOREAL,NON-ARBOREAL,Pollen Concentration
TIS 1,32.192525,-5.633891853,2275,,0,1.3,0,0,0,0.3,9,2.6,0,4.8,14.1,0.6,1.3,0,0,5.1,0,0.6,0,1.6,0,1,2.6,18.6,0.6,2.9,0,0,1,0.3,0,0,1.9,0,5.8,0,4.8,0,9.6,2.3,0,0,0,0,5.1,0,0,1.9,32.2,67.8,14188
TIS 2,32.193006,-5.632898285,2279,,0,1.6,0,3.8,0,0,6.9,2.2,0,5,12.3,0.3,0.6,0,0.9,5,0,0,0,0.3,1.3,0,4.1,25.2,0.9,0.6,0,0,5,0.3,0,0,0.9,0,2.5,0,1.9,0,9.1,0.9,0,0,0,0.3,6,0,0,0.9,31.9,68.1,19212
TIS 3,32.193309,-5.632217718,2280,,0.6,2.2,0,1.8,0,0,5.5,1.2,0,0.9,15.7,0,0.3,0,0.3,3.7,0,0,0,0.9,0.6,0,3.1,15.7,0.6,7.4,0,0,2.2,0,0,0.3,0.6,0,5.5,0,7.4,0,8.3,3.4,0.3,0,0,0.3,9.8,0,0,0.9,28,72,11330
TIS 4,32.193668,-5.631422123,2282,,0,1.2,0,0.9,0,0,3.9,0.6,0,1.2,16.1,0.3,0.9,0,0.3,4.8,0,0,0,0.3,1.2,0,2.1,22.6,1.5,7.1,0.3,0,2.1,0,0,0.3,0.6,0,3,0,3.3,0,10.4,4.5,0.3,0,0,1.5,8.3,0,0,0.6,23.8,76.2,30324
TIS 5,32.194081,-5.630628079,2284,,0,0.9,0,1.7,0,0,5.1,0.6,0.3,4.6,13.4,0,1.7,0,0.3,6.9,0,0,0.6,0.3,1.1,0,0.6,20.9,0,9.1,0,0.3,3.1,0,0,0.3,1.7,0,1.1,0,4.6,0,10,3.4,0,0,0,1.4,3.7,0,1.1,1.1,26.6,73.4,42671
TIS 6,32.194797,-5.630023016,2265,,0,0.3,0,0.8,0,0,7,0,0,5,7.8,0.6,0.3,0,0.3,15.4,0,0,0.6,0,1.4,0,2.5,15.4,0,10.6,0,0,2.5,0.3,0,0,0.6,0,0.6,0,2.8,0,9.5,3.4,0,0,0,1.1,10.4,0,0,0.8,21,79,83626
TIS 7,32.195532,-5.628951875,2268,,0,1.1,0,1.4,0,0,3.7,0.3,0,5.2,12.4,0,1.4,0,0.3,4.6,0,0,0.3,0,2,0,3.2,27,0.6,4.3,0,0,7.5,0,0,0,0.3,0,0,0,1.7,0,8.3,3.2,0,0,0,0,10.3,0,0,0.9,24.1,75.9,46211
TIS 8,32.196813,-5.628903906,2251,,0,3.5,0,1.2,0,0,7.3,1.8,0.6,2.6,15.2,1.8,0.6,0,0,3.5,0,0,0,0,7,0,3.2,17,0.9,3.2,0,0,3.2,0.3,0,0,1.2,0,0.6,0,0.6,0,0,2.9,0,0,0,0,20.8,0,0.6,0.6,32.2,67.8,42695
TIS 9,32.19977,-5.628935967,2282,,0,2.6,0,0.7,0,0,6.5,2.3,0,2.9,10.4,0.3,0.7,0,0,10.4,0,0.3,0,0,2.3,0,2.6,24.8,1.6,2.3,0.3,0.3,0.7,0.3,0,0,0.7,0,2.9,0,6.2,0,5.5,2,0,0,0,0.3,9.1,0,0,1,25.4,74.6,41292
TIS 10,32.199835,-5.637517446,2260,,0,2.6,0,1,0,0,4.2,1,1.9,2.6,9,0,0.6,0,0.3,12.9,0,0,0,0,0.6,0,0.6,11.6,1.6,0.3,0.3,0,1.3,0.3,2.6,0,1.9,0,1.6,0,12.2,0,6.8,4.2,0,0,0,1.6,13.5,0,0,2.9,22.2,77.8,61167
